nama,rating,jumlah_review,tipe,lat,lon,kategori,provinsi,url_gambar_1,url_gambar,url_gambar_2
Gunung Ranti,4.6,163,Puncak Gunung,-8.0994444,114.2141667,Alam,Jawa Timur,,,
Kantor Utama Taman Safari Indonesia,4.7,3740,Kebun Binatang,-6.2452068,106.7889745,Taman Hiburan,Banten,https://pixabay.com/get/g75902c48fb8f507955b4739dc0b5489c9a67c482bbf6a0f29e783220c9a8accdc3c5bb70b059c13942b5ba99a4df1ea4186efa91017aba100f42e5a9334158ce_1280.jpg,,
Tugu Pirak Godean,4.3,209,Monumen,-7.774991,110.2852179,Edukasi,Daerah Istimewa Yogyakarta,,,
Tugu Tegar Beriman Kota Jonggol,4.5,674,Taman,-6.452621,107.0602209,Alam,Jawa Barat,,,
Kolam Renang Sebani 1,4.3,2045,Taman Rekreasi Air,-7.647915,112.7332674,Taman Hiburan,Jawa Timur,,,
Monumen Jenderal Gatot Subroto,4.6,214,Tujuan Wisata,-7.4387734,109.2678402,Edukasi,Jawa Tengah,,,
Pantai Pasauran Anyer,4.4,90,Pantai,-6.0688043,105.8921504,Alam,Banten,https://pixabay.com/get/g4f6ee131f5e398f13bdf3e73f72230dca12bfcada2dc3a8e5142088b2b57915c3814586b6f9919e495cfc26bfd86485d2c88684c738633825eed043b7e021954_1280.jpg,https://images.pexels.com/photos/18784658/pexels-photo-18784658.jpeg,
Atlas Beach Club,4.7,13767,Tujuan Wisata,-8.665447,115.1384535,Alam,Bali,https://pixabay.com/get/ga55d9bb9462a77aecb2498a1431ab3b07f5625f1919cd1a1be6d7393624099852f8acce0d1483528fafea95242c342019f65d7cbb8eb6600e2ec5e3ea7f850c4_1280.jpg,,
Zatobay Waterboom,4.2,2026,Taman Rekreasi Air,-6.8962929,109.3968998,Taman Hiburan,Jawa Tengah,,,
Kolam Renang Tirto Argo Siwarak,4.4,4190,Taman Rekreasi Air,-7.132106,110.394523,Taman Hiburan,Jawa Tengah,,,
Jajaway Waterpark,4.1,676,Taman Rekreasi Air,-6.9575086,107.3753078,Taman Hiburan,Jawa Barat,,,
Fun World Ecoplaza,4.5,24,Taman Hiburan,-6.250265,106.5251866,Taman Hiburan,Banten,https://pixabay.com/get/g3074162f5e9ffadc4d0f88930fa6a2b126d25626872b5bac2a628f4168dfecf50c0f7d773fa24572bffaeb0ab4f16d820c2a1d234fb161badae45da84f1685fe_1280.jpg,,
Citra Raya Water World,4.3,6802,Taman Rekreasi Air,-6.2450838,106.5262594,Taman Hiburan,Banten,,,
Dinopark Cibubur Junction,4.3,39,Taman bermain,-6.3699142,106.8941606,Taman Hiburan,DKI Jakarta,,,
Bakpia Jogja Premium Oleh Oleh Khas Jogja | Bakpia Arjuna,5,65,Toko Roti,-7.8013572,110.3575646,Shopping,Daerah Istimewa Yogyakarta,,,
Taman Dinosaurus Ngaglik Lama,4.8,17,Taman bermain,-6.996811,110.4076621,Taman Hiburan,Jawa Tengah,https://pixabay.com/get/g9252fa61cdbc6b753d2bbf3decf198fe28df969382f8cc151744825d88a434e51138d4768c6e2ea9712d5245dffc9d6ff526db37caa1cf334c8be66a479d421d_1280.jpg,,
Fun World,4.8,17,Arena Bermain Anak-Anak,-6.8132281,107.253106,Taman Hiburan,Jawa Barat,https://pixabay.com/get/g519881c9ed6fa54a9e8382ce7625021694af40c0b7b2f5a6c20a674f33529c9c056fff6a6666ce2653955ca72d4a5ee2fd9fb48496f72b1d59c05738751d436e_1280.jpg,,
Pantai Bingin,4.4,895,Pantai,-8.8056919,115.1130376,Alam,Bali,,,
Pantai Pasir Putih Ujung Genteng,4.6,564,Pantai,-7.3208304,106.3871209,Alam,Jawa Barat,,,
